26
27,1633,58,1677,0,0
67,1633,102,1677,0,0
105,1633,139,1677,0,0
156,1634,187,1677,0,0
200,1632,231,1677,0,0
244,1631,275,1677,0,0
290,1634,319,1677,0,0
332,1634,363,1677,0,0
372,1634,404,1677,0,0
417,1635,463,1677,0,0
470,1634,517,1677,0,0
27,1723,76,1764,0,0
89,1722,137,1764,0,0
148,1722,196,1764,0,0
255,1723,305,1764,0,0
317,1722,366,1764,0,0
376,1722,424,1764,0,0
255,1723,305,1764,0,0
317,1722,366,1764,0,0
376,1722,424,1764,0,0
255,1723,305,1764,0,0
317,1722,366,1764,0,0
376,1722,424,1764,0,0
255,1723,305,1764,0,0
317,1722,366,1764,0,0
376,1722,424,1764,0,0
